iter	Passed	Remaining
0	0	49
1	1	49
2	1	55
3	2	49
4	2	47
5	2	46
6	3	46
7	3	44
8	4	44
9	4	44
10	5	43
11	5	42
12	6	42
13	6	42
14	7	42
15	8	42
16	8	41
17	9	41
18	9	41
19	10	41
20	11	41
21	11	41
22	12	40
23	12	40
24	13	39
25	13	38
26	14	38
27	14	37
28	15	36
29	15	36
30	15	35
31	16	34
32	16	34
33	17	33
34	17	32
35	18	32
36	18	31
37	19	31
38	19	30
39	19	29
40	20	29
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	22	25
47	23	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	25	21
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	29	17
62	29	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	34	13
72	34	12
73	35	12
74	35	11
75	36	11
76	36	11
77	37	10
78	37	10
79	38	9
80	38	9
81	38	8
82	39	8
83	39	7
84	40	7
85	40	6
86	41	6
87	41	5
88	42	5
89	42	4
90	43	4
91	43	3
92	44	3
93	44	2
94	45	2
95	45	1
96	46	1
97	46	0
98	47	0
99	47	0
