iter	Passed	Remaining
0	2	2780
1	3	1707
2	4	1374
3	4	1151
4	5	1072
5	5	992
6	6	940
7	7	902
8	7	871
9	8	869
10	9	855
11	10	836
12	10	817
13	11	803
14	12	791
15	12	779
16	13	769
17	13	757
18	14	737
19	14	717
20	15	700
21	15	693
22	17	725
23	17	715
24	18	713
25	18	707
26	20	730
27	20	725
28	21	720
29	22	728
30	23	722
31	23	718
32	24	714
33	25	710
34	25	706
35	26	705
36	26	699
37	27	691
38	27	685
39	28	682
40	29	679
41	30	689
42	31	697
43	31	689
44	32	685
45	32	680
46	33	676
47	33	670
48	34	667
49	35	666
50	35	667
51	36	664
52	37	662
53	37	661
54	38	660
55	38	656
56	39	654
57	40	651
58	40	649
59	41	646
60	41	641
61	42	635
62	42	630
63	42	625
64	43	620
65	43	618
66	44	617
67	45	617
68	45	615
69	46	614
70	47	615
71	47	611
72	47	607
73	48	603
74	48	599
75	49	596
76	49	596
77	50	596
78	51	600
79	52	598
80	53	602
81	53	601
82	53	596
83	54	594
84	56	613
85	58	621
86	59	628
87	60	626
88	61	625
89	61	624
90	62	622
91	62	621
92	63	619
93	64	618
94	67	644
95	69	650
96	69	647
97	70	645
98	70	642
99	71	639
100	71	636
101	72	634
102	73	641
103	74	640
104	74	638
105	75	637
106	76	635
107	76	634
108	77	632
109	77	630
110	78	629
111	80	641
112	81	639
113	84	658
114	85	656
115	85	654
116	86	651
117	86	650
118	87	648
119	88	647
120	88	645
121	89	642
122	89	640
123	90	638
124	90	636
125	91	635
126	91	632
127	92	630
128	93	630
129	93	628
130	94	627
131	95	626
132	95	624
133	96	623
134	97	621
135	106	676
136	107	674
137	107	671
138	109	675
139	109	673
140	110	671
141	110	668
142	111	665
143	111	662
144	111	659
145	112	657
146	112	655
147	113	652
148	113	649
149	114	647
150	115	647
151	115	647
152	116	646
153	117	643
154	117	640
155	117	637
156	118	635
157	118	633
158	119	630
159	119	628
160	120	625
161	120	623
162	121	621
163	121	619
164	121	617
165	122	617
166	123	616
167	124	614
168	124	612
169	124	609
170	125	608
171	126	606
172	126	605
173	127	603
174	127	601
175	128	599
176	128	597
177	129	595
178	129	594
179	130	593
180	130	591
181	131	589
182	131	587
183	132	585
184	132	583
185	132	582
186	133	580
187	133	578
188	134	577
189	135	576
190	135	575
191	136	574
192	138	577
193	138	576
194	139	575
195	140	575
196	141	574
197	141	573
198	142	574
199	143	573
200	143	572
201	144	570
202	145	569
203	145	568
204	146	567
205	146	566
206	147	565
207	148	563
208	148	562
209	149	561
210	150	562
211	150	560
212	151	559
213	151	558
214	152	556
215	153	555
216	153	554
217	154	553
218	154	551
219	155	549
220	155	548
221	156	547
222	156	546
223	157	546
224	158	546
225	158	544
226	159	542
227	159	540
228	160	539
229	160	537
230	161	536
231	161	535
232	162	533
233	162	532
234	163	530
235	163	529
236	163	527
237	165	529
238	166	529
239	166	528
240	167	526
241	167	526
242	168	526
243	169	525
244	169	523
245	170	522
246	171	521
247	171	521
248	172	520
249	172	518
250	173	517
251	173	516
252	174	514
253	174	513
254	175	512
255	175	511
256	176	510
257	177	509
258	178	510
259	178	509
260	179	508
261	180	507
262	180	506
263	181	505
264	181	504
265	182	503
266	183	502
267	183	501
268	184	501
269	185	500
270	185	499
271	186	499
272	187	498
273	187	497
274	188	496
275	189	495
276	189	495
277	190	494
278	190	493
279	191	492
280	192	492
281	192	491
282	193	490
283	193	488
284	194	487
285	195	486
286	195	485
287	195	484
288	196	483
289	196	481
290	197	481
291	198	480
292	199	480
293	199	479
294	200	478
295	200	477
296	201	476
297	202	476
298	203	476
299	205	479
300	206	478
301	207	478
302	207	477
303	208	476
304	208	475
305	208	473
306	209	472
307	209	471
308	210	470
309	210	469
310	211	467
311	211	466
312	212	465
313	212	464
314	213	463
315	213	462
316	214	462
317	215	462
318	216	461
319	216	460
320	217	459
321	217	458
322	218	458
323	219	457
324	219	456
325	220	455
326	221	455
327	221	454
328	222	454
329	223	453
330	223	452
331	224	452
332	225	451
333	226	450
334	226	450
335	227	449
336	227	448
337	228	447
338	228	446
339	229	445
340	230	444
